outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
ICU Stay in 28 Days,Relapse post 28 Day Discharge,6.629310344827587,0.837325151659253,12.42129553799592,0.025585190297878455,linear,False
ICU Stay in 28 Days,Other Illness Leading to Hospitalization post 28 Days Discharge,6.0385964912280725,0.8172440632549316,11.259948919201214,0.02414568229856469,linear,False
GW Stay in 28 Days,Patient ID,-0.03217240487647973,-0.08071636699520285,0.01637155724224338,0.1899667970914146,linear,False
GW Stay in 28 Days,Age,-0.08734690467700497,-0.20817968355138633,0.033485874197376406,0.1533909556265159,linear,False
GW Stay in 28 Days,Male,0.8772486772486764,-2.3044060398633315,4.0589033943606845,0.5833228561403024,linear,True
GW Stay in 28 Days,Female,-0.8772486772486783,-4.058903394360685,2.304406039863329,0.5833228561403014,linear,True
GW Stay in 28 Days,Height,-0.06611550526788114,-0.18774237400156668,0.05551136346580442,0.2812319791607854,linear,True
GW Stay in 28 Days,Weight,-0.1600937235854541,-0.3023943296975864,-0.017793117473321768,0.028100868719789437,linear,False
GW Stay in 28 Days,KPC,6.5737704918032795,-5.865506066004715,19.013047049611274,0.2947058178697147,linear,True
GW Stay in 28 Days,NDM,2.771367521367521,-0.35271495078361115,5.895449993518653,0.08106029437229259,linear,False
GW Stay in 28 Days,OXA48,-1.2546296296296282,-5.961135018574055,3.451875759314799,0.5958465895240226,linear,True
GW Stay in 28 Days,P/C in vitro,-0.15769230769230724,-4.457468802495087,4.1420841871104725,0.9417636700990504,linear,True
GW Stay in 28 Days,Z-A invitro,-1.7238095238095221,-5.077593487771946,1.629974440152901,0.3080147851771796,linear,True
GW Stay in 28 Days,CKD,-2.5737704918032787,-15.11074269758086,9.963201713974303,0.6827920650321049,linear,True
GW Stay in 28 Days,HTN,-2.3875000000000006,-5.491553828301743,0.7165538283017421,0.12917410434511614,linear,False
GW Stay in 28 Days,DM,-2.86818181818182,-6.089541581798761,0.3531779454351205,0.07997572277212356,linear,False
GW Stay in 28 Days,COPD,-3.508620689655171,-9.882126247915355,2.8648848686050137,0.2752225083930663,linear,True
GW Stay in 28 Days,Hypothyroidism,0.39717425431711134,-3.486527919002516,4.280876427636739,0.8386049012218714,linear,True
GW Stay in 28 Days,UTI.CRO,0.3475935828877017,-3.7912926495160697,4.486479815291473,0.8671562733580747,linear,True
GW Stay in 28 Days,IAI.CRO,0.88690476190476,-4.457495325128996,6.2313048489385165,0.7410838286370682,linear,True
GW Stay in 28 Days,ABSSSI.CRO,10.639344262295081,-1.61091284488875,22.88960136947891,0.0874728212329289,linear,False
GW Stay in 28 Days,HAP.CRO,-2.0025252525252517,-5.448146482869745,1.4430959778192411,0.24962236365624751,linear,True
