outcome,predictor,beta_coefficient,ci_lower,ci_upper,p_value,regression_type,p_gt_0.2
Relapse post 28 Day Discharge,CV Catheter in 6 Months,-11.804574978867185,-2279.515427427289,2255.906277469555,0.9918596459410827,logistic,True
Relapse post 28 Day Discharge,Urinary Catheter in 6 Months,-11.804574978867185,-2279.515427427289,2255.906277469555,0.9918596459410827,logistic,True
Relapse post 28 Day Discharge,Surgery in last 3 Months,-9.427704044409369,-298.49509019851746,279.6396821096987,0.9490317976955329,logistic,True
Relapse post 28 Day Discharge,Past CREPA infection,15.835636562408896,-1685.8885232848434,1717.559796409661,0.9854484104553982,logistic,True
Relapse post 28 Day Discharge,Endoscopy in 1 week,-11.804574978867219,-2279.5154274273273,2255.906277469593,0.9918596459410828,logistic,True
Relapse post 28 Day Discharge,Immunosuppressive drugs in 1 week,-14.399150896239732,-2889.169324458458,2860.371022665978,0.9921672380230856,logistic,True
Relapse post 28 Day Discharge,Inotropes ,12.45096045782937,-1072.7914354076152,1097.6933563232737,0.9820597844766321,logistic,True
Relapse post 28 Day Discharge,Ventilation,-10.339971271525215,-221.48458837049293,200.80464582744247,0.9235352872935144,logistic,True
Relapse post 28 Day Discharge,Overall organ support,9.898999577849718,-576.7945786138914,596.5925777695909,0.9736191385848071,logistic,True
Relapse post 28 Day Discharge,Neutropenia,-11.684065518177759,-1443.9144667177877,1420.5463356814323,0.9872429357360584,logistic,True
Relapse post 28 Day Discharge,Any Viral Infection,12.450960457839294,-1072.7914353706656,1097.6933562863442,0.9820597844760073,logistic,True
Relapse post 28 Day Discharge,Any Fungal Infection,-14.399150896239476,-2889.1693244580897,2860.371022665611,0.9921672380230847,logistic,True
Relapse post 28 Day Discharge,Hemat Malignancy,-9.427704044409444,-298.4950901985283,279.63968210970944,0.9490317976955344,logistic,True
Relapse post 28 Day Discharge,Solid Organ,-12.104069635534026,-641.7666991819965,617.5585599109284,0.9699455414424941,logistic,True
Relapse post 28 Day Discharge,APACHEII,0.11517382653304548,-0.25868339266096535,0.4890310457270563,0.5459738395551363,logistic,True
Relapse post 28 Day Discharge,SOFA,-0.0759185189714328,-0.683698577578033,0.5318615396351675,0.8065947256779944,logistic,True
Relapse post 28 Day Discharge,TLC,-15.037080391700465,-3310.689325007295,3280.615164223894,0.992864827015497,logistic,True
Relapse post 28 Day Discharge,ANC,-10.33997127152557,-221.48458837053076,200.80464582747962,0.9235352872935253,logistic,True
Relapse post 28 Day Discharge,Lympho,9.898999577846679,-576.7945786138945,596.5925777695878,0.9736191385848152,logistic,True
Relapse post 28 Day Discharge,Platelet,-15.037080391700755,-3310.6893250077696,3280.615164224368,0.992864827015498,logistic,True
Relapse post 28 Day Discharge,Bil,-14.150851907239756,-3799.1889518740813,3770.8872480596015,0.9941534913496016,logistic,True
Relapse post 28 Day Discharge,SGPT,-15.037080391699591,-3310.6893250058542,3280.6151642224554,0.9928648270154944,logistic,True
Relapse post 28 Day Discharge,SGOT,12.45096045782455,-1072.7914353706803,1097.6933562863294,0.9820597844760285,logistic,True
Relapse post 28 Day Discharge,Albumin,9.898999577849935,-576.7945786138912,596.5925777695911,0.9736191385848065,logistic,True
Relapse post 28 Day Discharge,Total Protein,9.898999577849935,-576.7945786138912,596.5925777695911,0.9736191385848065,logistic,True
Relapse post 28 Day Discharge,Globulin,-10.339971271525311,-221.48458837050313,200.8046458274525,0.9235352872935173,logistic,True
Relapse post 28 Day Discharge,ALP,-9.427704044409346,-298.49509019851433,279.6396821096957,0.9490317976955325,logistic,True
Relapse post 28 Day Discharge,Creatinine,10.486207559760798,-1162.5580957006266,1183.530510820148,0.9860211975232743,logistic,True
Relapse post 28 Day Discharge,Sodium,12.4509604578259,-1072.7914354076186,1097.6933563232703,0.9820597844766371,logistic,True
Relapse post 28 Day Discharge,Potassium,-9.427704044409593,-298.4950901985501,279.63968210973087,0.9490317976955374,logistic,True
Relapse post 28 Day Discharge,Urea,-10.339971271525485,-221.48458837052166,200.8046458274707,0.9235352872935226,logistic,True
Relapse post 28 Day Discharge,Calcium,12.450960457820091,-1072.7914353706847,1097.693356286325,0.9820597844760349,logistic,True
Relapse post 28 Day Discharge,Magnesium,-14.399150896239217,-2889.169324457717,2860.371022665239,0.9921672380230838,logistic,True
